code	lc	product_name_en	product_name_es	product_name_fr	product_name_pt	product_name_xx	generic_name_en	generic_name_es	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_pt	ingredients_text_xx	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	polyols_value	polyols_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_4_shape	packaging_4_material	packaging_4_recycling	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
7891008113952	es		Garoto					bombones, tabletas y wafers surtidos.	250 g / 8.80 z	1 1/2 unidade/unidad 25 g	Plástico, 07 OTHER, Papel, PP, Bolsa, Caja, en:Individual bag, Envoltorio	en:plastic,en:o-7-other-plastics,en:paper,en:pp-5-polypropylene,en:bag,en:box,en:individual-bag,en:wrapper	Nestlé,Garoto	nestle,garoto		Botanas, Snacks dulces, Cacao y sus productos, Dulces, Dulces de chocolate, Bombones, Chocolates, Chocolates con leche, Surtido de chocolates, en:Flavoured chocolates, en:Flavoured milk chocolates	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons,en:chocolates,en:milk-chocolates,en:assorted-chocolates,en:flavoured-chocolates,en:flavoured-milk-chocolates	Punto Verde, en:Made in Brazil	en:green-dot,en:made-in-brazil	Angola, Argentina, Bolivia, Brasil, Chile, Colombia, República Dominicana, Ecuador, Paraguay, Portugal, Reino Unido, Uruguay, Venezuela	en:angola,en:argentina,en:bolivia,en:brazil,en:chile,en:colombia,en:dominican-republic,en:ecuador,en:paraguay,en:portugal,en:united-kingdom,en:uruguay,en:venezuela	Farmacorp	farmacorp	0		Brasil	en:brazil	Cacao de Brasil.	Villa Velha,Espírito Santo,Brasil	villa-velha,espirito-santo,brasil	CNPJ 28.053.619/0001-83,RNE 00014591,RNE 21-114032,RNPA 27-21-113094,040503190004,RG 487/2009,RG 3355/2012,RSIA 15M09293,RE 800061152/2,RSPA 048121,IMSRA 161/101,CNPJ 28.053.619/0113-80,CNPJ 17.625.216/0001-45	cnpj-28-053-619-0001-83,rne-00014591,rne-21-114032,rnpa-27-21-113094,040503190004,rg-487-2009,rg-3355-2012,rsia-15m09293,re-800061152-2,rspa-048121,imsra-161-101,cnpj-28-053-619-0113-80,cnpj-17-625-216-0001-45		Azúcar, grasa vegetal (palma fraccionada, shea fraccionada, lecitina de soya, tocoferol, ácido cítrico), leche entera en polvo, masa de cacao, maní, jarabe de glucosa, manteca de cacao, cacao en polvo, harina de trigo enriquecida (hierro 0.0030%, ácido fólico 0.00022%, tiamina 0.00063%, riboflavina 0.00013%, niacina 0.0013%, zinc), banana deshidratada, grasa de leche anhidra, leche condensada, coco rallado, castaña de cajú, azúcar invertido, permeado de suero de leche en polvo, almidón de maíz, sal, aceite vegetal de soja, avellana, nuez de Brasil, almendra, harina de centeno, harina de avena, emulsionantes [lecitina de soja (INS 322), poliglicerol polirricinoleato (INS 476), mono y diglicéridos de ácidos grasos (INS 471)], humectantes [sorbitol (INS 420), glicerol (INS 422)], aromatizantes idénticos al natural (vainilla, castaña de cajú), aromatizante natural a maní, estabilizante (pectina), leudante químico (bicarbonato de sodio (INS 500ii)), regulador de acidez (ácido cítrico (INS 330)).				Gluten, Leche, Frutos de cáscara, Cacahuetes, Soja, Dióxido de azufre y sulfitos	en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans,en:sulphur-dioxide-and-sulphites	Huevos, Gluten, Frutos de cáscara, Granos de sésamo	en:eggs,en:gluten,en:nuts,en:sesame-seeds		serving	100g	533	kJ	127	kcal	6.4	g	3.4	g	16	g	14	g	0.6	g	1.3	g	72.5	mg	29	mg			533	kJ			0	g																	1	en:wrapper	en:pp-5-polypropylene	en:recycle	1	en:box	en:paperboard	en:recycle	en:individual-bag	en:pp-5-polypropylene	en:recycle	en:individual-bag	en:o-7-other-plastics	en:recycle	https://www.garoto.com.br/produtos/bombom-garoto-sortidos-250g	en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	25	e	19		31004	-4	-15	1	0								App - Yuka, Apps
6543216543265432	en	MTV Angola					TV chocolate bar		500g	250g	Cardboard	en:cardboard	MTV	mtv		Cocoa and its products, Festive foods, Christmas foods and drinks, Christmas chocolates, Advent calendars, Chocolate Advent calendars	en:cocoa-and-its-products,en:festive-foods,en:christmas-foods-and-drinks,en:christmas-chocolates,en:advent-calendars,en:chocolate-advent-calendars			Angola	en:angola	MTV Store	mtv-store	0																			100g	100g																																													1	en:applicator				en:unknown	en:plastic												unknown	unknown		unknown				-5	-15	1	0								
8904206251865	pt																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
6064000005377	pt																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
6971772842676	pt																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
5600444051665	pt				pai grande								vinho tinto	vinho-tinto		Bebidas, Bebidas alcoólicas, Vinhos	en:beverages,en:alcoholic-beverages,en:wines	FSC, FSC Misto	en:fsc,en:fsc-mix	Angola	en:angola			0							FSC-C014047	fsc-c014047											100g	100g																																																												en:alcoholic-beverages	en:alcoholic-beverages		unknown	not-applicable		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
5287001476507	pt																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
7896022201906	en	Renata							LAMEN sabor CARNE				Selmi	selmi						Angola	en:angola			0																		null	100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - halal-healthy, Apps
9904527018566	en	Coflix							100ml											Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								
01355642	en																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
0895155851078	en																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
0013208843133	en															Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:spreads,en:plant-based-spreads,en:spreadable-fats,en:vegetable-fats,en:margarines	Halal	en:halal	Angola	en:angola			0																			100g	100g																																																												en:fats	en:fats-and-sauces,en:fats	2	en:2-processed-culinary-ingredients	unknown		c	55	1	16737	-5	-15	1	0								App - smoothie-openfoodfacts, Apps
